NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,70.00,38.00,0.00,S0N0:538;S0N1:692;S0N2:568;S0N3:418;S1N0:685;S1N1:873;S1N2:724;S1N3:532;S2N0:531;S2N1:734;S2N2:635;S2N3:446,shard0:2216;shard1:2814;shard2:2346,1000ms,5.04s,0.16s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,259,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,37.50,0.00,S0N0:543;S0N1:751;S0N2:570;S0N3:420;S2N0:478;S2N1:611;S2N2:536;S2N3:426;S3N0:429;S3N1:536;S3N2:423;S3N3:351,shard0:2284;shard2:2051;shard3:1739,0ms,5.11s,0.33s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,37.50,0.00,S0N0:556;S0N1:659;S0N2:497;S0N3:379;S1N0:691;S1N1:880;S1N2:729;S1N3:532;S3N0:385;S3N1:464;S3N2:377;S3N3:320,shard0:2091;shard1:2832;shard3:1546,0ms,5.12s,0.35s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,37.50,0.00,S0N0:538;S0N1:692;S0N2:568;S0N3:418;S1N0:685;S1N1:873;S1N2:724;S1N3:532;S2N0:531;S2N1:734;S2N2:635;S2N3:446,shard0:2216;shard1:2814;shard2:2346,0ms,5.09s,0.29s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,37.50,0.00,S0N0:538;S0N1:692;S0N2:568;S0N3:418;S1N0:685;S1N1:873;S1N2:724;S1N3:532;S2N0:531;S2N1:734;S2N2:635;S2N3:446,shard0:2216;shard1:2814;shard2:2346,0ms,5.09s,0.28s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,37.50,0.00,S0N0:538;S0N1:692;S0N2:568;S0N3:418;S1N0:685;S1N1:873;S1N2:724;S1N3:532;S2N0:531;S2N1:734;S2N2:635;S2N3:446,shard0:2216;shard1:2814;shard2:2346,0ms,5.09s,0.26s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,41.50,0.00,S0N0:1109;S0N1:1360;S0N2:1072;S0N3:815;S1N0:1528;S1N1:1866;S1N2:1575;S1N3:1184;S3N0:818;S3N1:995;S3N2:873;S3N3:621,shard0:4356;shard1:6153;shard3:3307,0ms,5.42s,1.56s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,70.00,42.00,0.00,S0N0:1109;S0N1:1360;S0N2:1072;S0N3:815;S1N0:1528;S1N1:1866;S1N2:1575;S1N3:1184;S3N0:818;S3N1:995;S3N2:873;S3N3:621,shard0:4356;shard1:6153;shard3:3307,1000ms,5.42s,1.46s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,201,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,41.50,0.00,S0N0:1109;S0N1:1360;S0N2:1072;S0N3:815;S1N0:1528;S1N1:1866;S1N2:1575;S1N3:1184;S3N0:818;S3N1:995;S3N2:873;S3N3:621,shard0:4356;shard1:6153;shard3:3307,0ms,5.43s,1.54s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,41.50,0.00,S0N0:1240;S0N1:1538;S0N2:1235;S0N3:912;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4925;shard2:4426;shard3:3607,0ms,5.43s,1.65s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,41.50,0.00,S0N0:1109;S0N1:1360;S0N2:1072;S0N3:815;S1N0:1528;S1N1:1866;S1N2:1575;S1N3:1184;S3N0:818;S3N1:995;S3N2:873;S3N3:621,shard0:4356;shard1:6153;shard3:3307,0ms,5.43s,1.57s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,70.00,42.00,0.00,S0N0:1090;S0N1:1395;S0N2:1080;S0N3:819;S1N0:1372;S1N1:1761;S1N2:1435;S1N3:1142;S2N0:1315;S2N1:1669;S2N2:1478;S2N3:1117,shard0:4384;shard1:5710;shard2:5579,1000ms,5.42s,1.43s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,259,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,42.00,0.00,S0N0:1240;S0N1:1538;S0N2:1235;S0N3:912;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4925;shard2:4426;shard3:3607,1000ms,5.42s,1.58s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,118,11ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
S0N3,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,65ms,false,20.00,41.50,0.00,S1N0:1372;S1N1:1724;S1N2:1427;S1N3:1030;S2N0:1007;S2N1:1304;S2N2:1058;S2N3:903;S3N0:1086;S3N1:1285;S3N2:1041;S3N3:891,shard1:5553;shard2:4272;shard3:4303,0ms,5.42s,2.10s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,41.50,0.00,S0N0:1240;S0N1:1538;S0N2:1235;S0N3:912;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4925;shard2:4426;shard3:3607,0ms,5.42s,1.64s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,41.50,0.00,S1N0:1372;S1N1:1724;S1N2:1427;S1N3:1030;S2N0:1007;S2N1:1304;S2N2:1058;S2N3:903;S3N0:1086;S3N1:1285;S3N2:1041;S3N3:891,shard1:5553;shard2:4272;shard3:4303,0ms,5.43s,2.12s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,41.50,0.00,S0N0:1090;S0N1:1395;S0N2:1080;S0N3:819;S1N0:1372;S1N1:1761;S1N2:1435;S1N3:1142;S2N0:1315;S2N1:1669;S2N2:1478;S2N3:1117,shard0:4384;shard1:5710;shard2:5579,0ms,5.43s,1.51s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,41.50,0.00,S0N0:1090;S0N1:1395;S0N2:1080;S0N3:819;S1N0:1372;S1N1:1761;S1N2:1435;S1N3:1142;S2N0:1315;S2N1:1669;S2N2:1478;S2N3:1117,shard0:4384;shard1:5710;shard2:5579,0ms,5.43s,1.50s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,41.50,0.00,S0N0:1240;S0N1:1538;S0N2:1235;S0N3:912;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4925;shard2:4426;shard3:3607,0ms,5.43s,1.63s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,41.50,0.00,S0N0:1090;S0N1:1395;S0N2:1080;S0N3:819;S1N0:1372;S1N1:1761;S1N2:1435;S1N3:1142;S2N0:1315;S2N1:1669;S2N2:1478;S2N3:1117,shard0:4384;shard1:5710;shard2:5579,0ms,5.43s,1.51s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,41.50,0.00,S1N0:1372;S1N1:1724;S1N2:1427;S1N3:1030;S2N0:1007;S2N1:1304;S2N2:1058;S2N3:903;S3N0:1086;S3N1:1285;S3N2:1041;S3N3:891,shard1:5553;shard2:4272;shard3:4303,0ms,5.43s,2.18s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,70.00,42.00,0.00,S1N0:1372;S1N1:1724;S1N2:1427;S1N3:1030;S2N0:1007;S2N1:1304;S2N2:1058;S2N3:903;S3N0:1086;S3N1:1285;S3N2:1041;S3N3:891,shard1:5553;shard2:4272;shard3:4303,1000ms,5.43s,2.03s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,72,8ms,light_node,basic,tx_processing,idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,45.50,0.00,S0N0:1840;S0N1:2376;S0N2:1956;S0N3:1408;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7580;shard2:5902;shard3:4768,0ms,5.53s,1.80s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,45.50,0.00,S0N0:1840;S0N1:2376;S0N2:1956;S0N3:1408;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7580;shard2:5902;shard3:4768,0ms,5.53s,1.80s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,45.50,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.75s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.53s,1.70s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,45.50,0.00,S0N0:1840;S0N1:2376;S0N2:1956;S0N3:1408;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7580;shard2:5902;shard3:4768,0ms,5.53s,1.80s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,45.50,0.00,S1N0:1719;S1N1:2191;S1N2:1795;S1N3:1325;S2N0:1293;S2N1:1620;S2N2:1355;S2N3:1140;S3N0:1678;S3N1:2081;S3N2:1644;S3N3:1398,shard1:7030;shard2:5408;shard3:6801,0ms,5.54s,2.36s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.53s,1.69s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,20.00,46.00,0.00,S1N0:1719;S1N1:2191;S1N2:1795;S1N3:1325;S2N0:1293;S2N1:1620;S2N2:1355;S2N3:1140;S3N0:1678;S3N1:2081;S3N2:1644;S3N3:1398,shard1:7030;shard2:5408;shard3:6801,0ms,5.53s,2.11s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.28,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,20.00,46.00,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.53s,1.60s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.28,80ms,0.300,172,0ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,45.50,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.76s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.53s,1.68s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,45.50,0.00,S1N0:1719;S1N1:2191;S1N2:1795;S1N3:1325;S2N0:1293;S2N1:1620;S2N2:1355;S2N3:1140;S3N0:1678;S3N1:2081;S3N2:1644;S3N3:1398,shard1:7030;shard2:5408;shard3:6801,0ms,5.54s,2.22s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
