Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
28,0,14372,2000,561,1051,1753436055126,1753436055222,223199627,52868771,133764061
29,0,13347,2000,0,2000,1753436060068,1753436060206,260495316,0,260495316
30,0,11815,2000,0,2000,1753436064864,1753436065028,260157151,0,260157151
31,0,10627,2000,0,2000,1753436069766,1753436069967,261089454,0,261089454
32,0,8627,2000,0,2000,1753436074976,1753436075193,268145272,0,268145272
33,0,6627,2000,0,2000,1753436079879,1753436079991,264934369,0,264934369
34,0,4627,2000,0,2000,1753436084666,1753436084790,263554221,0,263554221
35,0,2627,2000,0,2000,1753436089662,1753436089861,262961184,0,262961184
36,0,627,2000,0,2000,1753436095245,1753436095340,268664463,0,268664463
37,0,0,627,0,627,1753436099628,1753436099730,86955610,0,86955610
38,0,0,0,0,0,1753436104393,1753436104477,0,0,0
39,0,0,0,0,0,1753436109393,1753436109503,0,0,0
40,0,0,0,0,0,1753436114394,1753436114448,0,0,0
41,0,0,0,0,0,1753436119394,1753436119454,0,0,0
42,0,0,0,0,0,1753436124395,1753436124433,0,0,0
43,0,0,0,0,0,1753436129396,1753436129456,0,0,0
44,0,0,0,0,0,1753436134397,1753436134440,0,0,0
45,0,0,0,0,0,1753436139398,1753436139472,0,0,0
46,0,0,0,0,0,1753436144395,1753436144468,0,0,0
47,0,0,0,0,0,1753436149396,1753436149488,0,0,0
48,0,0,0,0,0,1753436154397,1753436154434,0,0,0
49,0,0,0,0,0,1753436159398,1753436159435,0,0,0
50,0,0,0,0,0,1753436164398,1753436164476,0,0,0
51,0,6075,2000,920,0,1753437618694,1753437618992,12515489,5756739,0
52,0,7814,2000,1001,0,1753437623487,1753437623635,21683893,10852359,0
53,0,9770,2000,935,168,1753437628473,1753437628690,31630590,14772592,2683791
54,0,12939,2000,521,884,1753437633575,1753437633742,36151833,8222394,18538615
55,0,6766,2000,920,0,1753465265686,1753465265863,13311819,6122779,0
56,0,7814,2000,1001,0,1753465270300,1753465270428,22288412,11155121,0
57,0,10207,2000,935,168,1753465275201,1753465275434,32132807,15004710,2730569
58,0,12939,2000,521,884,1753465280109,1753465280222,36115645,8209232,18530498
59,0,17069,2000,870,370,1753465285217,1753465285392,43668632,18155922,9647807
60,0,19197,2000,514,598,1753465290120,1753465290349,47492473,10618249,18528544
61,0,24636,2000,1001,0,1753465295310,1753465295461,51404251,25726857,0
62,0,29530,2000,561,863,1753465300288,1753465300445,66079276,17184972,31249383
63,0,34403,2000,947,97,1753465305172,1753465305305,61627252,28701042,3956815
64,0,35834,2000,1085,0,1753465310087,1753465310250,70403823,38194756,0
66,1,34457,2000,791,478,1753465320106,1753465320271,90060416,32980002,26644072
67,1,33463,2000,1047,0,1753465324996,1753465325171,89929109,47077892,0
68,1,32103,2000,794,514,1753465330365,1753465330495,108543261,39887562,33891850
69,1,31070,2000,848,448,1753465335225,1753465335396,112510079,44091279,31726886
66,1,0,0,0,0,1753465339569,1753465339613,0,0,0
67,1,0,0,0,0,1753465344569,1753465344587,0,0,0
68,1,0,0,0,0,1753465349569,1753465349636,0,0,0
69,1,0,0,0,0,1753465354570,1753465354619,0,0,0
70,1,33476,2000,773,551,1753465360276,1753465360335,161274316,57894314,52750044
71,1,32155,2000,858,427,1753465365112,1753465365239,164241876,66070122,42964731
72,1,31115,2000,1044,0,1753465369987,1753465370147,158985177,82989856,0
70,1,0,0,0,0,1753465379573,1753465379654,0,0,0
71,1,0,0,0,0,1753465384574,1753465384592,0,0,0
72,1,0,0,0,0,1753465389574,1753465389592,0,0,0
73,1,0,0,0,0,1753465394574,1753465394629,0,0,0
74,1,0,0,0,0,1753465399575,1753465399648,0,0,0
