NodeID,ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,38.00,0.00,S0N0:540;S0N1:752;S0N2:569;S0N3:421;S2N0:478;S2N1:615;S2N2:537;S2N3:430;S3N0:433;S3N1:539;S3N2:425;S3N3:352,shard0:2282;shard2:2060;shard3:1749,1000ms,4.98s,0.08s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,118,3ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,37.50,0.00,S0N0:571;S0N1:682;S0N2:507;S0N3:386;S1N0:649;S1N1:841;S1N2:673;S1N3:504;S3N0:392;S3N1:476;S3N2:389;S3N3:327,shard0:2146;shard1:2667;shard3:1584,0ms,5.00s,0.03s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,70.00,38.00,0.00,S0N0:542;S0N1:693;S0N2:572;S0N3:419;S1N0:687;S1N1:878;S1N2:725;S1N3:534;S2N0:531;S2N1:732;S2N2:633;S2N3:446,shard0:2226;shard1:2824;shard2:2342,1000ms,4.97s,0.07s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,259,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S0N3,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,65ms,false,20.00,37.50,0.00,S1N0:673;S1N1:827;S1N2:723;S1N3:528;S2N0:481;S2N1:676;S2N2:535;S2N3:452;S3N0:475;S3N1:579;S3N2:492;S3N3:396,shard1:2751;shard2:2144;shard3:1942,0ms,4.91s,0.54s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,37.50,0.00,S0N0:540;S0N1:752;S0N2:569;S0N3:421;S2N0:478;S2N1:615;S2N2:537;S2N3:430;S3N0:433;S3N1:539;S3N2:425;S3N3:352,shard0:2282;shard2:2060;shard3:1749,0ms,4.98s,0.10s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,37.50,0.00,S0N0:542;S0N1:693;S0N2:572;S0N3:419;S1N0:687;S1N1:878;S1N2:725;S1N3:534;S2N0:531;S2N1:732;S2N2:633;S2N3:446,shard0:2226;shard1:2824;shard2:2342,0ms,4.97s,0.12s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.10,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,41.50,0.00,S0N0:1103;S0N1:1347;S0N2:1059;S0N3:813;S1N0:1516;S1N1:1850;S1N2:1563;S1N3:1172;S3N0:808;S3N1:988;S3N2:865;S3N3:613,shard0:4322;shard1:6101;shard3:3274,0ms,5.42s,1.38s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,41.50,0.00,S0N0:1238;S0N1:1539;S0N2:1234;S0N3:911;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4922;shard2:4426;shard3:3607,0ms,5.41s,1.30s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,70.00,42.00,0.00,S0N0:1103;S0N1:1347;S0N2:1059;S0N3:813;S1N0:1516;S1N1:1850;S1N2:1563;S1N3:1172;S3N0:808;S3N1:988;S3N2:865;S3N3:613,shard0:4322;shard1:6101;shard3:3274,1000ms,5.42s,1.38s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,201,2ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,41.50,0.00,S0N0:1103;S0N1:1347;S0N2:1059;S0N3:813;S1N0:1516;S1N1:1850;S1N2:1563;S1N3:1172;S3N0:808;S3N1:988;S3N2:865;S3N3:613,shard0:4322;shard1:6101;shard3:3274,0ms,5.42s,1.38s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N3,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,65ms,false,20.00,41.50,0.00,S1N0:1366;S1N1:1718;S1N2:1425;S1N3:1029;S2N0:1004;S2N1:1300;S2N2:1056;S2N3:899;S3N0:1089;S3N1:1285;S3N2:1043;S3N3:893,shard1:5538;shard2:4259;shard3:4310,0ms,5.38s,1.28s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,41.50,0.00,S1N0:1366;S1N1:1718;S1N2:1425;S1N3:1029;S2N0:1004;S2N1:1300;S2N2:1056;S2N3:899;S3N0:1089;S3N1:1285;S3N2:1043;S3N3:893,shard1:5538;shard2:4259;shard3:4310,0ms,5.38s,1.29s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,41.50,0.00,S0N0:1103;S0N1:1347;S0N2:1059;S0N3:813;S1N0:1516;S1N1:1850;S1N2:1563;S1N3:1172;S3N0:808;S3N1:988;S3N2:865;S3N3:613,shard0:4322;shard1:6101;shard3:3274,0ms,5.42s,1.38s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,41.50,0.00,S0N0:1087;S0N1:1393;S0N2:1079;S0N3:819;S1N0:1368;S1N1:1754;S1N2:1431;S1N3:1140;S2N0:1314;S2N1:1671;S2N2:1480;S2N3:1117,shard0:4378;shard1:5693;shard2:5582,0ms,5.40s,1.31s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N0,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,95ms,true,70.00,42.00,0.00,S0N0:1087;S0N1:1393;S0N2:1079;S0N3:819;S1N0:1368;S1N1:1754;S1N2:1431;S1N3:1140;S2N0:1314;S2N1:1671;S2N2:1480;S2N3:1117,shard0:4378;shard1:5693;shard2:5582,1000ms,5.41s,1.35s,0.700,0.300,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,259,3ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,41.50,0.00,S0N0:1238;S0N1:1539;S0N2:1234;S0N3:911;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4922;shard2:4426;shard3:3607,1000ms,5.41s,1.34s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,118,10ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
S1N1,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,70ms,false,20.00,41.50,0.00,S0N0:1238;S0N1:1539;S0N2:1234;S0N3:911;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4922;shard2:4426;shard3:3607,0ms,5.41s,1.29s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,41.50,0.00,S0N0:1238;S0N1:1539;S0N2:1234;S0N3:911;S2N0:1018;S2N1:1324;S2N2:1144;S2N3:940;S3N0:919;S3N1:1105;S3N2:881;S3N3:702,shard0:4922;shard2:4426;shard3:3607,0ms,5.41s,1.29s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N0,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,50ms,true,70.00,42.00,0.00,S1N0:1366;S1N1:1718;S1N2:1425;S1N3:1029;S2N0:1004;S2N1:1300;S2N2:1056;S2N3:899;S3N0:1089;S3N1:1285;S3N2:1043;S3N3:893,shard1:5538;shard2:4259;shard3:4310,1000ms,5.40s,1.23s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,72,17ms,light_node,basic,tx_processing,idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,41.50,0.00,S0N0:1087;S0N1:1393;S0N2:1079;S0N3:819;S1N0:1368;S1N1:1754;S1N2:1431;S1N3:1140;S2N0:1314;S2N1:1671;S2N2:1480;S2N3:1117,shard0:4378;shard1:5693;shard2:5582,0ms,5.40s,1.33s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,41.50,0.00,S0N0:1087;S0N1:1393;S0N2:1079;S0N3:819;S1N0:1368;S1N1:1754;S1N2:1431;S1N3:1140;S2N0:1314;S2N1:1671;S2N2:1480;S2N3:1117,shard0:4378;shard1:5693;shard2:5582,0ms,5.41s,1.34s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S0N1,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,55ms,false,20.00,41.50,0.00,S1N0:1366;S1N1:1718;S1N2:1425;S1N3:1029;S2N0:1004;S2N1:1300;S2N2:1056;S2N3:899;S3N0:1089;S3N1:1285;S3N2:1043;S3N3:893,shard1:5538;shard2:4259;shard3:4310,0ms,5.39s,1.25s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S2N3,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,95ms,true,20.00,45.50,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.54s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N0,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,80ms,true,20.00,46.00,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.53s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.28,70ms,0.300,134,0ms,full_node,"consensus,validation,full_service","tx_processing,data_verification",idle,10,50
S2N1,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,85ms,true,20.00,45.50,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.53s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S2N2,2,amd64,2,DDR4,3600.00,2048,SSD,300.00,150.00,150.00,90ms,true,20.00,45.50,0.00,S0N0:1297;S0N1:1632;S0N2:1284;S0N3:962;S1N0:2455;S1N1:3068;S1N2:2531;S1N3:1885;S3N0:945;S3N1:1174;S3N2:1041;S3N3:739,shard0:5175;shard1:9939;shard3:3899,0ms,5.52s,1.53s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,70ms,0.300,134,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S3N1,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,100ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.52s,1.50s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N3,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,80ms,false,20.00,45.50,0.00,S0N0:1839;S0N1:2379;S0N2:1962;S0N3:1415;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7595;shard2:5902;shard3:4768,0ms,5.52s,1.49s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S0N2,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,60ms,false,20.00,45.50,0.00,S1N0:1719;S1N1:2191;S1N2:1795;S1N3:1325;S2N0:1293;S2N1:1620;S2N2:1355;S2N3:1140;S3N0:1678;S3N1:2081;S3N2:1644;S3N3:1398,shard1:7030;shard2:5408;shard3:6801,0ms,5.53s,1.35s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S0N3,1,amd64,0,DDR4,1200.00,512,SSD,100.00,50.00,50.00,65ms,false,20.00,45.50,0.00,S1N0:1719;S1N1:2191;S1N2:1795;S1N3:1325;S2N0:1293;S2N1:1620;S2N2:1355;S2N3:1140;S3N0:1678;S3N1:2081;S3N2:1644;S3N3:1398,shard1:7030;shard2:5408;shard3:6801,0ms,5.53s,1.35s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,50ms,0.300,48,0ms,light_node,basic,tx_processing,idle,10,50
S1N0,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,65ms,false,70.00,46.00,0.00,S0N0:1839;S0N1:2379;S0N2:1962;S0N3:1415;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7595;shard2:5902;shard3:4768,1000ms,5.52s,1.51s,0.800,0.200,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,118,1ms,full_node,"consensus,validation,full_service",tx_processing,idle,10,50
S3N2,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,105ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.52s,1.51s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
S1N2,1,amd64,1,DDR4,2400.00,1024,SSD,200.00,100.00,100.00,75ms,false,20.00,45.50,0.00,S0N0:1839;S0N1:2379;S0N2:1962;S0N3:1415;S2N0:1359;S2N1:1768;S2N2:1525;S2N3:1250;S3N0:1196;S3N1:1480;S3N2:1157;S3N3:935,shard0:7595;shard2:5902;shard3:4768,0ms,5.52s,1.47s,0.950,0.050,0.32,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,60ms,0.300,79,0ms,storage_node,"storage,data_persistence",tx_processing,idle,10,50
S3N3,2,amd64,4,DDR4,4800.00,4096,SSD,400.00,200.00,200.00,110ms,true,20.00,45.50,0.00,S0N0:1409;S0N1:1755;S0N2:1375;S0N3:1056;S1N0:1728;S1N1:2256;S1N2:1839;S1N3:1443;S2N0:2275;S2N1:2855;S2N2:2609;S2N3:2013,shard0:5595;shard1:7266;shard2:9752,0ms,5.52s,1.51s,0.850,0.150,0.42,0.00,0.85,UTC+8,1,1,0.00,2,0.500,0.15,80ms,0.300,172,0ms,miner_node,"consensus,mining","tx_processing,data_verification",idle,10,50
