ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.ClockFrequency,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.CPU.CacheSize,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.Uptime24h,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.TransactionCapability.ResourcePerTx.CPUPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.MemPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.DiskPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.NetworkPerTx,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.EconomicContribution.FeeContributionRatio,OnChainBehavior.SmartContractUsage.InvocationFrequency,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.GeoLocation.DataCenter,NetworkTopology.GeoLocation.Region,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.Hierarchy.Depth,NetworkTopology.Hierarchy.ConnectionDensity,NetworkTopology.Centrality.IntraShard.Eigenvector,NetworkTopology.Centrality.IntraShard.Closeness,NetworkTopology.Centrality.InterShard.Betweenness,NetworkTopology.Centrality.InterShard.Influence,NetworkTopology.ShardAllocation.Priority,NetworkTopology.ShardAllocation.ShardPreference,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Compute.CPUUsage,DynamicAttributes.Compute.MemUsage,DynamicAttributes.Compute.ResourceFlux,DynamicAttributes.Storage.Available,DynamicAttributes.Storage.Utilization,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,DynamicAttributes.Transactions.StakeChangeRate,DynamicAttributes.Reputation.Uptime24h,DynamicAttributes.Reputation.ReputationScore,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.SupportedFuncs.Priorities,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
7,2.7,x86,28,54,DDR4,24.4,47.6,HDD,529,1061,3183,190ms,0.947,false,58.7,63.8,163.1,nodeA:142;nodeB:108;nodeC:58,shard1:51;shard2:259,1205ms,0.08,0.02,0.018,0.05,25s,2.4s,0.12,4013,0.45,0.55,0.13,5.8,0.8,UTC+8,AWS,ap-southeast-1,24,9,37.5,24,4,0.36,0.22,0.48,0.27,0.44,5,shard1:0.7;shard2:0.1;shard3:0.2,0.61,64.0,54.3,0.2,34.1,0.89,5.3,50ms,0.7,1565,151ms,0.28,0.871,65.3,storage,"storage,data_service,archive","data_storage,archive_service,data_retrieval",data_storage:1;archive_service:2;data_retrieval:2,high_load,2805,216
45,2.2,x86,135,263,DDR5,182.5,21.5,SSD,322,3241,16205,90ms,0.99,true,65.3,78.6,696.0,nodeA:198;nodeB:229;nodeC:190;nodeD:184;nodeE:73,shard1:218;shard2:260,646ms,0.06,0.12,0.032,0.08,9s,1.4s,0.24,2591,0.68,0.32,0.94,42.0,0.9,UTC-5,Google Cloud,us-east-1,58,11,74.5,57,5,0.78,0.4,0.21,0.19,0.47,5,shard1:0.3;shard2:0.6;shard3:0.1,0.78,31.3,74.7,0.34,11.7,0.76,3.5,285ms,0.72,1926,334ms,0.06,0.978,85.9,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,high_load,2114,236
8,3.0,x86,48,8,DDR4,5.0,1.3,NVMe,543,155,1240,108ms,0.902,false,63.6,49.9,160.5,nodeA:270;nodeB:96;nodeC:248;nodeD:295,shard1:226;shard2:220;shard3:332,305ms,0.1,0.09,0.047,0.05,30s,2.4s,0.39,2060,0.68,0.32,0.26,4.1,0.7,UTC-8,AWS,us-west-2,8,9,21.5,4,3,0.62,0.46,0.45,0.21,0.53,4,shard1:0.5;shard2:0.2;shard3:0.3,0.62,65.8,49.9,0.37,0.7,0.83,13.1,161ms,0.8,1799,474ms,0.11,0.929,66.7,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,idle,110,629
21,2.1,ARM,147,185,DDR4,120.7,10.1,HDD,515,1423,24191,159ms,0.998,true,28.8,82.6,665.6,nodeA:240;nodeB:94;nodeC:145;nodeD:291,shard1:339;shard2:399;shard3:142,202ms,0.27,0.08,0.029,0.05,7s,1.1s,0.3,1364,0.43,0.57,0.97,66.1,0.94,UTC+3,Yandex Cloud,ru-central1,66,14,87.0,54,5,0.92,0.74,0.93,0.59,0.62,5,shard1:0.2;shard2:0.8,0.53,71.0,84.9,0.4,6.5,0.56,2.4,71ms,0.59,1471,356ms,0.27,0.981,94.3,validator,"validation,consensus,pos","block_validation,consensus_participation,stake_management",block_validation:1;consensus_participation:1;stake_management:2,idle,1301,784
28,2.6,x86,112,234,DDR5,71.3,13.3,HDD,414,3775,71725,85ms,0.958,true,50.9,39.2,1087.6,nodeA:66;nodeB:171;nodeC:187,shard1:262;shard2:139;shard3:152;shard4:117,1068ms,0.22,0.08,0.019,0.1,30s,2.3s,0.21,3040,0.63,0.37,0.9,29.4,0.84,UTC+3,Yandex Cloud,ru-central1,47,15,69.5,41,2,0.89,0.81,0.9,0.84,0.71,2,shard1:0.5;shard2:0.4;shard3:0.1,0.79,52.9,66.4,0.27,8.1,0.73,10.2,90ms,0.71,1900,692ms,0.2,0.986,87.9,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,high_load,2473,797
22,4.4,x86,66,121,DDR5,88.3,9.2,SSD,526,2298,9192,179ms,0.995,true,21.0,52.6,763.8,nodeA:131;nodeB:247;nodeC:247;nodeD:140,shard1:100;shard2:238;shard3:328,788ms,0.24,0.05,0.022,0.07,10s,0.8s,0.17,305,0.65,0.35,0.98,64.9,0.94,UTC-5,Google Cloud,us-east-1,65,26,104.0,51,5,0.38,0.42,0.52,0.9,0.45,2,shard1:0.1;shard2:0.3;shard3:0.6,0.93,38.8,54.5,0.28,5.9,0.87,6.9,99ms,0.88,1391,151ms,0.25,0.992,96.9,validator,"validation,consensus,pos","block_validation,consensus_participation,stake_management",block_validation:1;consensus_participation:1;stake_management:2,idle,1245,117
54,4.4,ARM,108,298,DDR5,125.7,7.5,NVMe,698,2340,9360,164ms,0.996,true,58.8,56.0,687.8,nodeA:247;nodeB:57;nodeC:61;nodeD:184;nodeE:95,shard1:114;shard2:190,977ms,0.13,0.04,0.046,0.01,7s,2.1s,0.26,1529,0.44,0.56,0.93,31.9,0.86,UTC-8,AWS,us-west-2,57,20,87.0,28,3,0.47,0.16,0.41,0.15,0.23,4,shard1:0.4;shard2:0.3;shard3:0.3,0.87,63.4,32.1,0.23,5.8,0.33,12.0,286ms,0.5,1367,81ms,0.03,0.973,80.0,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,maintenance,2910,271
30,2.3,x86,210,230,DDR5,169.9,9.7,SSD,340,2761,44176,46ms,0.993,true,49.0,72.9,898.7,nodeA:156;nodeB:34,shard1:189;shard2:208,394ms,0.13,0.06,0.016,0.1,30s,2.0s,0.35,863,0.57,0.43,0.85,4.8,0.86,UTC+8,AWS,ap-southeast-1,67,32,115.0,54,2,0.57,0.88,0.95,0.55,0.77,1,shard1:0.4;shard2:0.2;shard3:0.4,0.96,69.0,47.9,0.25,3.2,0.69,4.1,75ms,0.53,1189,426ms,0.04,0.985,84.1,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,active,1857,1780
24,2.5,x86,120,180,DDR5,84.7,7.2,SSD,452,3324,13296,72ms,0.992,true,30.9,67.8,549.8,nodeA:227;nodeB:233;nodeC:168;nodeD:78;nodeE:227,shard1:216;shard2:137,367ms,0.12,0.11,0.027,0.05,23s,2.4s,0.25,2927,0.57,0.43,0.76,15.1,0.9,UTC+9,Alibaba Cloud,ap-northeast-1,32,22,65.0,28,2,0.3,0.57,0.6,0.38,0.5,3,shard1:0.8;shard2:0.1;shard3:0.1,0.56,62.3,53.0,0.1,3.7,0.44,8.8,201ms,0.35,1814,93ms,0.14,0.989,81.4,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,maintenance,1382,1229
49,2.2,ARM,392,286,DDR4,192.5,10.2,NVMe,292,1812,32616,175ms,0.992,true,57.1,28.6,665.7,nodeA:256;nodeB:41;nodeC:250;nodeD:116;nodeE:184,shard1:293;shard2:306;shard3:127;shard4:81,1219ms,0.23,0.13,0.042,0.03,7s,0.8s,0.15,1352,0.7,0.3,0.9,63.0,0.87,UTC-3,AWS,sa-east-1,49,28,91.0,48,5,0.74,0.54,0.52,0.49,0.33,3,shard1:0.2;shard2:0.6;shard3:0.2,0.57,34.4,53.7,0.16,3.7,0.33,8.1,178ms,0.6,127,108ms,0.12,0.964,86.1,miner,"mining,consensus,pow","block_mining,pow_computation,block_production",block_mining:1;pow_computation:1;block_production:1,idle,469,1309
30,3.1,x86,150,198,DDR5,111.2,4.2,HDD,501,2158,30212,183ms,0.97,true,43.7,56.9,1289.2,nodeA:192;nodeB:87,shard1:242;shard2:128;shard3:133;shard4:142,885ms,0.07,0.03,0.036,0.04,19s,2.5s,0.27,1258,0.77,0.23,0.76,20.2,0.9,UTC+1,Azure,europe-west,68,37,123.5,39,4,0.66,0.75,0.66,0.38,0.68,5,shard1:0.7;shard2:0.3,0.54,73.6,58.1,0.06,1.6,0.87,5.8,268ms,0.42,331,208ms,0.03,0.996,81.8,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,idle,2310,1760
13,2.7,ARM,91,89,DDR4,37.1,21.4,HDD,880,2351,18808,70ms,0.887,false,86.3,83.9,330.8,nodeA:261;nodeB:91;nodeC:260;nodeD:249,shard1:52;shard2:90;shard3:59;shard4:181,777ms,0.24,0.09,0.024,0.02,21s,5.3s,0.14,2148,0.42,0.58,0.34,9.3,0.77,UTC-5,Google Cloud,us-east-1,33,7,43.5,21,4,0.59,0.36,0.62,0.14,0.56,4,shard1:0.8;shard2:0.2,0.92,90.5,52.0,0.19,9.1,0.53,2.1,134ms,0.32,1956,151ms,0.25,0.915,79.8,storage,"storage,data_service,archive","data_storage,archive_service,data_retrieval",data_storage:1;archive_service:2;data_retrieval:2,high_load,663,128
15,3.0,x86,120,223,DDR5,117.9,3.6,HDD,631,3444,65436,22ms,0.951,true,56.1,31.9,643.6,nodeA:123;nodeB:42;nodeC:122;nodeD:41,shard1:208;shard2:313;shard3:253,1079ms,0.05,0.07,0.031,0.03,17s,3.1s,0.21,4409,0.62,0.38,0.86,1.6,0.88,UTC-3,AWS,sa-east-1,32,35,84.5,28,4,0.46,0.41,0.88,0.51,0.69,1,shard1:0.3;shard2:0.5;shard3:0.2,0.87,77.8,46.6,0.07,1.9,0.79,3.5,257ms,0.94,1030,696ms,0.06,0.983,92.9,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,high_load,1974,125
19,3.1,x86,95,254,DDR5,132.0,15.4,NVMe,467,1765,30005,109ms,0.983,true,45.7,70.8,766.7,nodeA:209;nodeB:210;nodeC:247;nodeD:59;nodeE:90,shard1:237;shard2:253;shard3:210;shard4:382,369ms,0.23,0.03,0.032,0.08,24s,3.1s,0.12,2521,0.52,0.48,0.82,21.0,0.86,UTC+0,Digital Ocean,europe-central,58,16,82.0,52,4,0.7,0.64,0.81,0.77,0.42,4,shard1:0.3;shard2:0.2;shard3:0.5,0.67,82.1,69.2,0.38,4.4,0.66,11.9,37ms,0.38,533,710ms,0.12,0.987,90.2,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,active,2578,364
16,3.8,x86,48,220,DDR5,97.4,14.8,NVMe,622,1819,9095,82ms,0.957,true,25.2,27.1,1213.4,nodeA:85;nodeB:113;nodeC:86;nodeD:241,shard1:78;shard2:113;shard3:315;shard4:128,379ms,0.25,0.15,0.049,0.07,17s,3.2s,0.19,2557,0.74,0.26,0.84,19.5,0.94,UTC+0,Digital Ocean,europe-central,62,22,95.0,38,3,0.81,0.53,0.74,0.52,0.63,4,shard1:0.2;shard2:0.3;shard3:0.5,0.89,65.9,64.8,0.08,5.7,0.9,11.1,289ms,0.57,888,638ms,0.03,0.998,91.6,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,active,1943,1004
28,4.4,ARM,112,96,DDR4,58.8,10.6,SSD,215,3058,21406,137ms,0.978,true,60.6,27.0,1124.5,nodeA:146;nodeB:92;nodeC:69;nodeD:45;nodeE:168,shard1:365;shard2:264;shard3:177,1439ms,0.13,0.14,0.007,0.09,17s,1.0s,0.29,4824,0.51,0.49,0.74,18.9,0.89,UTC+8,AWS,ap-southeast-1,61,35,113.5,48,4,0.61,0.84,0.83,0.48,0.43,1,shard1:0.8;shard2:0.2,0.58,57.0,55.2,0.17,3.0,0.82,5.5,196ms,0.93,317,429ms,0.16,0.982,84.4,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,maintenance,601,597
4,3.2,ARM,8,20,DDR5,11.1,2.0,HDD,340,697,9061,14ms,0.855,false,39.7,56.8,260.7,nodeA:187;nodeB:183;nodeC:103,shard1:365;shard2:203;shard3:353,1163ms,0.12,0.02,0.01,0.02,23s,5.3s,0.33,3097,0.42,0.58,0.13,3.7,0.81,UTC+9,Alibaba Cloud,ap-northeast-1,7,8,19.0,7,5,0.8,0.24,0.69,0.37,0.25,1,shard1:0.5;shard2:0.3;shard3:0.2,0.69,81.7,47.0,0.38,1.3,0.42,8.1,276ms,0.33,129,190ms,0.22,0.93,73.0,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,710,1291
2,4.4,ARM,12,17,DDR5,11.9,1.6,HDD,147,711,12087,99ms,0.877,false,65.9,83.0,194.6,nodeA:267;nodeB:118;nodeC:146;nodeD:162,shard1:202;shard2:165;shard3:202;shard4:197,666ms,0.23,0.1,0.013,0.07,27s,2.3s,0.3,358,0.63,0.37,0.45,4.5,0.74,UTC+3,Yandex Cloud,ru-central1,9,8,21.0,9,3,0.57,0.49,0.66,0.45,0.49,1,shard1:0.7;shard2:0.3,0.84,63.7,61.5,0.4,0.8,0.53,14.4,255ms,0.89,751,609ms,0.11,0.927,78.0,light_node,"validation,relay","data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,2734,1695
26,3.7,x86,130,165,DDR5,117.0,15.4,HDD,269,2189,6567,126ms,0.964,true,70.0,39.2,942.4,nodeA:233;nodeB:110;nodeC:38,shard1:303;shard2:145;shard3:198,725ms,0.24,0.05,0.042,0.03,23s,1.9s,0.28,4907,0.5,0.5,0.71,7.5,0.94,UTC-8,AWS,us-west-2,33,18,60.0,29,4,0.77,0.46,0.87,0.3,0.62,2,shard1:0.1;shard2:0.9,0.7,90.8,82.1,0.22,4.9,0.88,5.5,50ms,0.89,233,717ms,0.18,0.99,93.0,full_node,"consensus,validation,storage,relay","tx_processing,smart_contract_exec,data_storage,block_validation",tx_processing:1;smart_contract_exec:2;data_storage:3;block_validation:2,maintenance,252,1920
12,4.1,ARM,60,133,DDR4,52.7,3.1,NVMe,286,2679,26790,38ms,0.994,true,21.0,38.6,636.0,nodeA:211;nodeB:232;nodeC:261;nodeD:295;nodeE:131,shard1:398;shard2:355,790ms,0.24,0.04,0.044,0.09,11s,2.0s,0.13,881,0.47,0.53,0.91,32.3,0.94,UTC+9,Alibaba Cloud,ap-northeast-1,49,19,77.5,38,4,0.92,0.57,0.85,0.31,0.66,2,shard1:0.5;shard2:0.5,0.53,37.7,44.9,0.19,1.6,0.84,10.8,179ms,0.75,1358,352ms,0.12,0.984,97.2,validator,"validation,consensus,pos","block_validation,consensus_participation,stake_management",block_validation:1;consensus_participation:1;stake_management:2,active,2058,363
