ResourceCapacity.Hardware.CPU.CoreCount,ResourceCapacity.Hardware.CPU.ClockFrequency,ResourceCapacity.Hardware.CPU.Architecture,ResourceCapacity.Hardware.CPU.CacheSize,ResourceCapacity.Hardware.Memory.TotalCapacity,ResourceCapacity.Hardware.Memory.Type,ResourceCapacity.Hardware.Memory.Bandwidth,ResourceCapacity.Hardware.Storage.Capacity,ResourceCapacity.Hardware.Storage.Type,ResourceCapacity.Hardware.Storage.ReadWriteSpeed,ResourceCapacity.Hardware.Network.UpstreamBW,ResourceCapacity.Hardware.Network.DownstreamBW,ResourceCapacity.Hardware.Network.Latency,ResourceCapacity.OperationalStatus.Uptime24h,ResourceCapacity.OperationalStatus.CoreEligibility,ResourceCapacity.OperationalStatus.ResourceUsage.CPUUtilization,ResourceCapacity.OperationalStatus.ResourceUsage.MemUtilization,OnChainBehavior.TransactionCapability.AvgTPS,OnChainBehavior.TransactionCapability.CrossShardTx.InterNodeVolume,OnChainBehavior.TransactionCapability.CrossShardTx.InterShardVolume,OnChainBehavior.TransactionCapability.ConfirmationDelay,OnChainBehavior.TransactionCapability.ResourcePerTx.CPUPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.MemPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.DiskPerTx,OnChainBehavior.TransactionCapability.ResourcePerTx.NetworkPerTx,OnChainBehavior.BlockGeneration.AvgInterval,OnChainBehavior.BlockGeneration.IntervalStdDev,OnChainBehavior.EconomicContribution.FeeContributionRatio,OnChainBehavior.SmartContractUsage.InvocationFrequency,OnChainBehavior.TransactionTypes.NormalTxRatio,OnChainBehavior.TransactionTypes.ContractTxRatio,OnChainBehavior.Consensus.ParticipationRate,OnChainBehavior.Consensus.TotalReward,OnChainBehavior.Consensus.SuccessRate,NetworkTopology.GeoLocation.Timezone,NetworkTopology.GeoLocation.DataCenter,NetworkTopology.GeoLocation.Region,NetworkTopology.Connections.IntraShardConn,NetworkTopology.Connections.InterShardConn,NetworkTopology.Connections.WeightedDegree,NetworkTopology.Connections.ActiveConn,NetworkTopology.Hierarchy.Depth,NetworkTopology.Hierarchy.ConnectionDensity,NetworkTopology.Centrality.IntraShard.Eigenvector,NetworkTopology.Centrality.IntraShard.Closeness,NetworkTopology.Centrality.InterShard.Betweenness,NetworkTopology.Centrality.InterShard.Influence,NetworkTopology.ShardAllocation.Priority,NetworkTopology.ShardAllocation.ShardPreference,NetworkTopology.ShardAllocation.Adaptability,DynamicAttributes.Compute.CPUUsage,DynamicAttributes.Compute.MemUsage,DynamicAttributes.Compute.ResourceFlux,DynamicAttributes.Storage.Available,DynamicAttributes.Storage.Utilization,DynamicAttributes.Network.LatencyFlux,DynamicAttributes.Network.AvgLatency,DynamicAttributes.Network.BandwidthUsage,DynamicAttributes.Transactions.Frequency,DynamicAttributes.Transactions.ProcessingDelay,DynamicAttributes.Transactions.StakeChangeRate,DynamicAttributes.Reputation.Uptime24h,DynamicAttributes.Reputation.ReputationScore,HeterogeneousType.NodeType,HeterogeneousType.FunctionTags,HeterogeneousType.SupportedFuncs.Functions,HeterogeneousType.SupportedFuncs.Priorities,HeterogeneousType.Application.CurrentState,HeterogeneousType.Application.LoadMetrics.TxFrequency,HeterogeneousType.Application.LoadMetrics.StorageOps
15,3.1,x86,75,99,DDR5,55.6,2.1,HDD,781,2379,26169,183ms,0.969,true,74.2,62.5,336.7,nodeA:192;nodeB:87,shard1:242;shard2:128;shard3:133;shard4:142,1392ms,0.21,0.03,0.009,0.07,14s,1.6s,0.36,1331,0.53,0.47,0.87,7.9,0.87,UTC+3,Yandex Cloud,ru-central1,26,10,41.0,17,5,0.72,0.38,0.3,0.66,0.77,5,shard1:0.7;shard2:0.3,0.54,73.6,58.1,0.06,0.8,0.87,5.8,268ms,0.42,331,208ms,0.03,0.991,63.8,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,idle,2310,1760
17,3.9,ARM,136,178,DDR4,74.2,4.4,HDD,880,1594,20722,70ms,0.983,true,59.9,45.8,1015.6,nodeA:261;nodeB:91;nodeC:260;nodeD:249,shard1:52;shard2:90;shard3:59;shard4:181,1693ms,0.15,0.09,0.048,0.08,30s,6.0s,0.36,527,0.66,0.34,0.95,28.2,0.82,UTC-5,Google Cloud,us-east-1,46,10,61.0,28,4,0.59,0.54,0.85,0.17,0.75,4,shard1:0.8;shard2:0.2,0.92,90.5,52.0,0.19,1.9,0.53,2.1,134ms,0.32,1956,151ms,0.25,0.982,90.1,ValidatorNode,"validation,consensus","block_validation,consensus_participation",block_validation:1;consensus_participation:2,high_load,663,128
7,3.0,x86,56,111,DDR5,58.7,1.8,HDD,631,1722,32718,22ms,0.951,true,56.1,31.9,400.5,nodeA:123;nodeB:42;nodeC:122;nodeD:41,shard1:208;shard2:313;shard3:253,979ms,0.05,0.07,0.031,0.03,26s,1.9s,0.39,654,0.78,0.22,0.86,39.5,0.9,UTC+8,AWS,ap-southeast-1,59,35,111.5,30,5,0.94,0.32,0.21,0.73,0.41,1,shard1:0.3;shard2:0.5;shard3:0.2,0.87,77.8,46.6,0.07,0.9,0.79,3.5,257ms,0.94,1030,696ms,0.06,0.957,87.2,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,high_load,1974,125
16,2.9,x86,80,127,DDR4,66.0,7.7,SSD,747,2494,17458,198ms,0.974,true,54.8,79.7,663.5,nodeA:250;nodeB:209;nodeC:210,shard1:89;shard2:343;shard3:120,1740ms,0.07,0.08,0.024,0.1,10s,1.9s,0.2,755,0.53,0.47,0.79,22.8,0.94,UTC+1,Azure,europe-west,66,27,106.5,61,2,0.77,0.87,0.68,0.45,0.58,1,shard1:0.4;shard2:0.4;shard3:0.2,0.54,71.4,48.6,0.33,4.7,0.87,3.0,244ms,0.32,187,291ms,0.24,0.968,74.5,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,idle,2423,116
5,4.3,x86,10,16,DDR5,11.0,1.6,SSD,339,726,7986,51ms,0.984,false,89.9,29.0,83.9,nodeA:258;nodeB:284;nodeC:196;nodeD:85;nodeE:113,shard1:271;shard2:307,251ms,0.16,0.14,0.025,0.02,26s,7.6s,0.4,2946,0.68,0.32,0.43,15.2,0.86,UTC+1,Azure,europe-west,32,28,74.0,32,3,0.38,0.27,0.31,0.73,0.22,5,shard1:0.8;shard2:0.2,0.77,60.4,88.9,0.1,1.2,0.34,6.6,265ms,0.64,1625,469ms,0.25,0.954,97.0,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,2731,201
30,2.9,ARM,180,273,DDR5,197.4,11.0,SSD,964,2624,15744,50ms,0.981,false,63.0,21.5,584.6,nodeA:143;nodeB:258;nodeC:82;nodeD:156,shard1:176;shard2:122;shard3:99,1312ms,0.29,0.04,0.035,0.07,24s,3.2s,0.38,437,0.73,0.27,0.12,3.2,0.92,UTC+9,Alibaba Cloud,ap-northeast-1,36,31,82.5,18,5,0.88,0.56,0.7,0.34,0.35,4,shard1:0.3;shard2:0.7,0.64,34.7,28.9,0.2,5.4,0.42,9.5,180ms,0.86,703,403ms,0.29,0.956,74.1,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,2400,267
62,2.8,ARM,496,209,DDR4,114.8,18.4,HDD,910,2763,46971,167ms,0.951,false,86.2,50.4,780.0,nodeA:190;nodeB:262;nodeC:285,shard1:126;shard2:360;shard3:313,540ms,0.2,0.03,0.018,0.06,25s,5.5s,0.19,166,0.74,0.26,0.36,44.2,0.94,UTC+3,Yandex Cloud,ru-central1,56,7,66.5,40,2,0.67,0.27,0.63,0.16,0.5,5,shard1:0.4;shard2:0.6,0.63,94.3,69.2,0.09,14.4,0.54,12.1,193ms,0.66,798,197ms,0.07,0.975,79.0,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,285,129
6,4.1,ARM,36,23,DDR5,15.1,0.9,HDD,137,477,5724,99ms,0.983,false,88.6,55.9,249.2,nodeA:155;nodeB:267;nodeC:118;nodeD:146,shard1:335;shard2:202;shard3:165,1585ms,0.27,0.1,0.032,0.03,25s,6.1s,0.33,4831,0.49,0.51,0.13,24.5,0.9,UTC+3,Yandex Cloud,ru-central1,28,20,58.0,14,2,0.42,0.47,0.53,0.43,0.32,5,shard1:0.7;shard2:0.2;shard3:0.1,0.87,89.8,81.7,0.31,0.2,0.38,3.9,186ms,0.95,1029,588ms,0.12,0.997,77.5,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,high_load,2283,751
13,3.7,x86,65,82,DDR5,58.2,7.7,HDD,549,1094,3282,126ms,0.964,true,70.0,39.2,609.7,nodeA:233;nodeB:110;nodeC:38,shard1:303;shard2:145;shard3:198,625ms,0.24,0.05,0.042,0.03,22s,4.9s,0.14,4907,0.5,0.5,0.71,45.4,0.84,UTC-8,AWS,us-west-2,16,11,32.5,14,4,0.77,0.19,0.8,0.1,0.53,2,shard1:0.1;shard2:0.9,0.7,90.8,82.1,0.22,2.5,0.88,5.5,50ms,0.89,233,717ms,0.18,0.976,87.5,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,maintenance,252,1920
24,4.1,ARM,120,267,DDR4,105.8,7.2,NVMe,566,3379,33790,38ms,0.985,false,21.0,38.6,377.0,nodeA:211;nodeB:232;nodeC:261;nodeD:295;nodeE:131,shard1:398;shard2:355,1481ms,0.24,0.04,0.044,0.09,18s,3.2s,0.13,881,0.47,0.53,0.18,16.9,0.85,UTC+9,Alibaba Cloud,ap-northeast-1,59,20,89.0,43,4,0.92,0.36,0.76,0.11,0.59,2,shard1:0.5;shard2:0.5,0.53,37.7,44.9,0.19,3.6,0.84,10.8,179ms,0.75,1358,352ms,0.12,0.961,96.4,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,active,2058,363
24,2.5,x86,144,102,DDR5,39.0,14.0,HDD,852,1476,11808,49ms,0.985,true,54.2,77.9,1168.2,nodeA:290;nodeB:85;nodeC:134;nodeD:21;nodeE:31,shard1:287;shard2:394;shard3:328,213ms,0.16,0.09,0.026,0.02,19s,4.1s,0.19,278,0.56,0.44,0.94,37.5,0.91,UTC+8,AWS,ap-southeast-1,64,27,104.5,36,2,0.91,0.16,0.93,0.13,0.45,2,shard1:0.5;shard2:0.3;shard3:0.2,0.87,93.6,67.0,0.2,11.1,0.53,13.2,213ms,0.54,1448,727ms,0.26,0.957,92.7,SuperNode,"consensus,storage,validation,mining","tx_processing,contract_execution,data_storage,block_production",tx_processing:1;contract_execution:2;data_storage:3;block_production:1,high_load,585,415
15,3.9,x86,30,116,DDR5,59.1,6.4,SSD,416,992,7936,94ms,0.953,true,61.6,46.3,770.4,nodeA:135;nodeB:173;nodeC:93,shard1:79;shard2:337;shard3:261,1886ms,0.06,0.12,0.023,0.03,11s,2.6s,0.33,1247,0.6,0.4,0.78,41.0,0.94,UTC+0,Digital Ocean,europe-central,51,20,81.0,34,3,0.94,0.54,0.52,0.32,0.53,5,shard1:0.5;shard2:0.1;shard3:0.4,0.92,89.3,65.7,0.2,3.2,0.88,14.2,215ms,0.81,702,763ms,0.13,0.957,74.3,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,active,2303,1019
39,2.2,ARM,273,225,DDR5,73.3,14.6,SSD,440,1798,14384,197ms,0.989,false,61.1,62.0,330.2,nodeA:188;nodeB:137;nodeC:214,shard1:175;shard2:305;shard3:331;shard4:385,527ms,0.27,0.06,0.048,0.01,11s,3.2s,0.14,4023,0.77,0.23,0.52,35.5,0.88,UTC-8,AWS,us-west-2,80,25,117.5,58,5,0.6,0.65,0.44,0.39,0.73,4,shard1:0.3;shard2:0.5;shard3:0.2,0.55,93.8,55.5,0.34,10.9,0.52,6.8,133ms,0.78,83,317ms,0.17,0.979,87.4,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,1309,362
15,3.4,x86,45,101,DDR4,80.3,7.7,HDD,936,569,2276,121ms,0.996,true,66.8,68.5,588.7,nodeA:36;nodeB:67,shard1:244;shard2:243;shard3:332,1825ms,0.21,0.03,0.012,0.03,19s,2.7s,0.29,4058,0.66,0.34,0.7,27.1,0.88,UTC+8,AWS,ap-southeast-1,77,22,110.0,72,4,0.31,0.79,0.73,0.74,0.75,1,shard1:0.1;shard2:0.1;shard3:0.8,0.94,64.1,40.7,0.27,2.7,0.51,12.1,60ms,0.54,881,520ms,0.17,0.999,68.6,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,high_load,2901,1745
2,4.2,ARM,4,15,DDR5,6.1,1.8,SSD,700,586,5860,33ms,0.952,false,25.2,79.8,274.8,nodeA:63;nodeB:171;nodeC:146;nodeD:57;nodeE:62,shard1:128;shard2:244;shard3:374,1254ms,0.21,0.04,0.043,0.01,11s,2.2s,0.33,3362,0.77,0.23,0.28,28.6,0.91,UTC+3,Yandex Cloud,ru-central1,79,26,118.0,63,3,0.81,0.69,0.26,0.7,0.41,1,shard1:0.7;shard2:0.3,0.71,84.5,47.1,0.32,1.4,0.54,11.8,35ms,0.71,1654,511ms,0.15,0.967,95.8,LightNode,validation,"data_verification,tx_relay",data_verification:1;tx_relay:2,active,1868,430
44,2.9,ARM,176,180,DDR4,65.9,9.2,HDD,859,3781,71839,106ms,0.975,false,27.2,21.3,532.5,nodeA:173;nodeB:184;nodeC:122,shard1:210;shard2:140;shard3:253,1322ms,0.2,0.06,0.022,0.04,17s,4.2s,0.32,4683,0.76,0.24,0.69,29.0,0.83,UTC+3,Yandex Cloud,ru-central1,31,13,50.5,23,4,0.47,0.22,0.33,0.32,0.38,1,shard1:0.3;shard2:0.4;shard3:0.3,0.67,91.4,71.9,0.22,5.2,0.57,2.9,23ms,0.92,730,685ms,0.12,0.992,76.7,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,1863,1720
20,2.9,x86,120,115,DDR5,68.6,9.6,SSD,963,1110,17760,85ms,0.996,true,34.7,70.8,1746.9,nodeA:248;nodeB:211;nodeC:220,shard1:397;shard2:351;shard3:306,241ms,0.25,0.12,0.023,0.05,25s,3.1s,0.18,1362,0.69,0.31,0.93,4.6,0.99,UTC-3,AWS,sa-east-1,61,39,119.5,56,2,0.81,0.41,0.9,0.53,0.58,1,shard1:0.4;shard2:0.6,0.55,46.1,68.2,0.11,5.4,0.64,10.0,224ms,0.93,729,490ms,0.04,0.955,68.4,SuperNode,"consensus,storage,validation,mining","tx_processing,contract_execution,data_storage,block_production",tx_processing:1;contract_execution:2;data_storage:3;block_production:1,maintenance,2224,1192
21,2.3,ARM,147,200,DDR4,94.8,13.6,NVMe,611,3634,61778,44ms,0.967,false,26.8,65.5,471.5,nodeA:290;nodeB:180;nodeC:218;nodeD:220;nodeE:78,shard1:230;shard2:284;shard3:366,237ms,0.13,0.13,0.01,0.09,25s,1.9s,0.34,2098,0.61,0.39,0.43,17.2,0.88,UTC-3,AWS,sa-east-1,39,30,84.0,39,3,0.42,0.66,0.51,0.69,0.73,4,shard1:0.8;shard2:0.2,0.78,55.3,70.8,0.12,8.9,0.79,1.9,72ms,0.82,1149,241ms,0.12,0.96,64.3,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,high_load,2847,1816
8,2.3,x86,32,120,DDR4,44.5,3.7,SSD,541,1677,23478,198ms,0.971,true,54.1,52.6,943.4,nodeA:237;nodeB:72;nodeC:146,shard1:66;shard2:280;shard3:184,454ms,0.19,0.08,0.011,0.04,19s,3.9s,0.36,178,0.59,0.41,0.76,19.8,0.91,UTC-3,AWS,sa-east-1,62,36,116.0,57,5,0.62,0.17,0.22,0.71,0.38,3,shard1:0.8;shard2:0.1;shard3:0.1,0.61,48.8,75.7,0.25,2.5,0.6,8.2,78ms,0.47,1162,425ms,0.17,0.987,88.9,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,high_load,1907,1168
55,3.6,x86,165,443,DDR5,163.7,9.8,HDD,611,1743,34860,184ms,0.967,false,39.7,52.7,394.2,nodeA:203;nodeB:52;nodeC:293;nodeD:223;nodeE:131,shard1:158;shard2:303;shard3:187,1541ms,0.12,0.09,0.048,0.06,26s,6.6s,0.14,3471,0.77,0.23,0.7,43.5,0.82,UTC+1,Azure,europe-west,41,14,62.0,30,3,0.79,0.67,0.58,0.56,0.36,4,shard1:0.8;shard2:0.1;shard3:0.1,0.68,34.9,76.6,0.32,4.3,0.75,10.7,208ms,0.6,1049,385ms,0.18,0.993,92.2,MinerNode,"mining,consensus","block_mining,pow_computation",block_mining:1;pow_computation:1,active,481,1546
14,4.0,x86,70,34,DDR5,12.3,7.0,NVMe,851,1434,2868,185ms,0.999,true,49.9,84.7,936.6,nodeA:55;nodeB:291;nodeC:24,shard1:382;shard2:134;shard3:275;shard4:229,1906ms,0.21,0.04,0.047,0.03,25s,3.5s,0.12,1455,0.42,0.58,0.88,36.6,0.94,UTC+3,Yandex Cloud,ru-central1,21,11,37.5,10,3,0.61,0.21,0.38,0.64,0.21,3,shard1:0.6;shard2:0.4,0.89,94.2,52.5,0.1,1.7,0.53,11.2,72ms,0.37,802,356ms,0.05,0.988,88.6,FullNode,"consensus,validation,storage","tx_processing,smart_contract_exec,data_storage",tx_processing:1;smart_contract_exec:2;data_storage:3,maintenance,645,1363
