node_id,f_graph_000,f_graph_001,f_graph_002,f_graph_003,f_graph_004,f_graph_005,f_graph_006,f_graph_007,f_graph_008,f_graph_009,f_graph_010,f_graph_011,f_graph_012,f_graph_013,f_graph_014,f_graph_015,f_graph_016,f_graph_017,f_graph_018,f_graph_019,f_graph_020,f_graph_021,f_graph_022,f_graph_023,f_graph_024,f_graph_025,f_graph_026,f_graph_027,f_graph_028,f_graph_029,f_graph_030,f_graph_031,f_graph_032,f_graph_033,f_graph_034,f_graph_035,f_graph_036,f_graph_037,f_graph_038,f_graph_039,f_graph_040,f_graph_041,f_graph_042,f_graph_043,f_graph_044,f_graph_045,f_graph_046,f_graph_047,f_graph_048,f_graph_049,f_graph_050,f_graph_051,f_graph_052,f_graph_053,f_graph_054,f_graph_055,f_graph_056,f_graph_057,f_graph_058,f_graph_059,f_graph_060,f_graph_061,f_graph_062,f_graph_063,f_graph_064,f_graph_065,f_graph_066,f_graph_067,f_graph_068,f_graph_069,f_graph_070,f_graph_071,f_graph_072,f_graph_073,f_graph_074,f_graph_075,f_graph_076,f_graph_077,f_graph_078,f_graph_079,f_graph_080,f_graph_081,f_graph_082,f_graph_083,f_graph_084,f_graph_085,f_graph_086,f_graph_087,f_graph_088,f_graph_089,f_graph_090,f_graph_091,f_graph_092,f_graph_093,f_graph_094,f_graph_095
10,372.543213,-781.352417,-222.038086,-702.074097,-1841.117188,-1163.825806,-1379.162476,-1159.830811,-1512.748413,1160.479980,914.918701,-913.552551,720.904175,-1114.255005,1563.573853,1066.684448,41.625099,-1553.405151,406.886658,-1632.044312,-206.911041,-1081.875488,45.796402,-1984.276123,-970.434692,623.812500,-757.428894,-697.879517,-180.651154,345.280334,325.229675,476.877655,693.057068,925.800110,-976.956909,-967.290649,43.230061,778.510437,534.543274,192.091019,-1011.426208,-1291.318359,600.381653,-988.057617,235.240891,-885.643921,-238.916168,1268.540527,1856.747803,236.649750,-768.704590,-102.383545,2662.612305,-1557.892456,-708.628357,461.557526,2169.088623,-546.837585,-1476.140381,-341.371124,761.527832,-2655.888428,-978.565002,644.147278,-419.516846,-1596.392456,-203.121552,149.410736,260.209961,268.245911,2460.591309,-2473.342041,-2196.705322,204.419098,-32.730366,-29.670824,-100.837181,212.176300,-191.880005,-2579.750000,-763.287903,737.103271,1168.595581,-282.558533,-101.803200,-633.180481,1386.331909,-2901.362305,2658.107178,66.806931,-1055.726929,179.070251,1576.732056,1388.308960,1141.928589,28.670204
11,3978.238525,-368.471069,8590.390625,-444.697388,-5388.506348,1457.741089,3235.055420,615.823792,1109.479492,-2265.012695,3230.174805,760.814819,-1931.716797,-765.447266,-3818.985107,316.260498,-4574.929688,-154.980713,-298.840942,6988.248047,2478.325928,-2413.396484,-523.155762,-1618.374023,1805.263184,530.106018,-508.939575,1066.461670,2287.312500,-2477.440918,-3443.228760,5690.450684,4561.168945,4941.547852,4003.535400,-4554.448242,2615.497803,246.948853,1143.789917,-6688.184570,5913.486328,1478.662476,1902.635376,2466.957520,-1282.820068,4122.832520,4483.267090,-4347.875488,4991.415527,3224.367676,-4590.149414,3351.031982,4578.555176,-2463.354736,-525.119507,-5494.916992,-1565.653076,-1004.484619,-2085.776855,810.008057,-3351.045166,-5047.031250,670.831299,1151.003906,-210.101562,-3413.101074,-4418.025391,-1347.870117,2470.164551,-2599.706543,4071.310303,3004.011719,-5187.676758,-4906.721680,3964.853516,-4534.604492,3800.095703,-1752.519287,-2203.125000,-2999.250000,2483.953125,-1094.756104,-4569.285645,-1513.402588,7961.428711,4624.357910,-34.098755,-851.124695,4327.167969,3134.005127,1513.325806,-783.211426,-2052.749268,1302.997070,7896.738281,3786.617188
12,-523.396484,1893.172729,760.461060,-3229.393066,-3229.022949,-1817.202637,529.041931,-4056.954102,678.255981,1612.658203,-1766.905273,-1911.982300,3181.670898,-2168.650635,1484.932617,2055.506348,-687.244446,-41.833008,1567.656982,-1976.960449,-1087.934570,101.073792,959.619324,-3492.267090,-2071.088867,1266.119019,-3425.568115,-577.951660,-3889.848877,-837.188721,2976.828125,356.471680,-197.838913,3203.188477,-2761.966309,-439.139282,-4204.730957,843.487549,-606.677185,1700.146729,116.982117,-3888.395996,-672.382324,1754.044067,356.412598,-523.425049,1790.930908,1984.740479,1747.583740,717.162476,-187.826599,1724.103394,2346.537842,-3136.065918,3495.658447,2193.754395,2621.100342,-4516.872559,-1603.364136,-1117.263794,-3905.816895,-1478.902832,-993.438232,426.510620,-664.885010,-1244.823975,2688.661133,2862.475586,1541.749023,262.681641,2508.609619,-1167.273071,456.462952,1500.070312,591.338379,-151.898682,-2375.072998,191.553467,-792.317810,-4339.109375,439.485413,1467.193237,-493.921387,-1893.740112,2092.903320,-1821.233887,-942.087769,-1895.504883,1789.756714,-2844.749756,71.471436,2216.406250,1837.967773,402.746826,745.296265,-1121.710327
13,2838.069336,-214.818787,-980.921631,-1541.159790,-393.114044,1188.217041,-1665.758911,-1575.229492,-22.702633,169.583420,716.559021,-963.979309,-33.160049,168.499084,355.032898,1027.468628,214.552078,-1783.710205,224.744797,-392.059998,-1632.768188,1957.897949,516.744873,136.498810,-1979.392334,984.979858,1948.232910,-571.535156,-64.093201,-601.207886,-317.739258,233.700089,729.570801,-310.772797,-1585.814697,-1463.798218,-252.168549,1695.863037,275.956299,-1465.373901,741.365479,-1961.510864,8.837355,-1631.834717,636.633484,-590.948730,-1421.957397,110.451340,1087.552124,-375.065155,113.043228,203.068878,809.794373,-2552.833740,-825.317383,-422.895325,1312.417480,-130.395111,-1946.825073,1626.661255,-378.739288,-2176.797607,3994.827881,1559.392578,-40.747910,1798.354614,-1113.577637,1514.445435,1195.462891,959.636292,-221.076141,-581.839966,-1123.011475,-1313.618652,-404.197388,-1856.418579,-435.506226,-852.208801,123.504623,-4498.083984,-1013.531982,-157.966858,300.256165,-421.972626,1029.676147,628.823608,-997.340515,-1944.576538,1201.469971,-914.895386,177.172119,1285.791016,2065.395996,2682.523438,1399.437866,1294.492554
14,4006.586426,-4354.310547,-3505.720215,-5409.196289,-1731.103638,253.905304,-8120.211914,-357.403870,-2111.629150,4274.146484,5102.641113,-5562.189941,2014.717773,-1607.362915,588.909424,1688.826660,5769.004395,-8150.117188,1306.349854,-3421.644043,934.210815,3136.845459,2679.899170,3549.463135,-4071.354736,1918.388672,5537.289062,643.127197,3770.660156,-4244.220703,-1238.862915,-1197.818604,2522.073486,747.665527,-5703.481445,-4826.256836,-2286.020508,6024.159668,2920.358887,1099.580811,-40.581543,-4174.218750,31.021845,-4819.734375,2773.083984,725.540649,778.596436,-2781.977539,-86.388626,-1805.519531,-710.562927,-3665.632080,6778.509766,-802.485291,-3228.521484,-1949.546875,7867.629395,376.529419,-3849.307129,6655.271484,-3085.541504,-6925.032227,3698.417236,2588.236572,-242.154999,2750.744629,-2655.187012,5174.957520,3446.644287,3938.261963,3142.628906,-9133.233398,-5776.097168,4218.862305,-1003.573486,-5217.397949,-2909.125244,1434.104736,-2763.875488,-9200.980469,-3164.523926,-3680.686523,-4139.266602,5788.566406,-2102.963623,2679.070312,3884.308105,-6428.215820,2754.404541,3444.468750,-2687.696533,3175.166260,12378.908203,6386.559570,7882.697754,1897.579346
15,768.646973,-310.451019,-80.179192,-372.080475,-1130.094849,169.445511,-1167.598389,-387.138428,-1095.990479,353.149597,231.346222,-964.410278,2.229677,45.658268,949.598572,327.255859,432.103516,-429.591766,275.706848,-506.143677,-159.630707,214.039108,-272.735779,343.579437,-776.884705,331.588196,247.514542,-228.959106,552.392517,329.202759,-324.326477,251.748657,477.466888,347.044037,202.777237,-1071.416260,-324.007477,112.650574,724.013306,-860.037903,809.911377,-489.460022,-373.410034,-877.820374,388.300507,-157.716461,-79.357605,791.266541,206.078598,-223.948669,177.894455,-433.497498,778.259460,-1073.296875,3.745967,-57.582085,1065.180176,195.152100,-876.637817,793.440247,100.195290,-1103.658081,994.270508,-240.019012,-1039.295898,19.077003,-927.920837,570.732910,104.102821,-402.908142,807.639160,-1455.181274,-611.351318,-220.454330,398.714752,-370.265381,-390.726044,116.319374,-1025.504517,-1444.988037,-413.104279,-357.721375,-188.771881,412.654236,-14.981537,-109.800728,745.716003,-1668.404053,499.701294,284.125366,-191.401245,-282.345306,1441.907837,911.930420,519.609863,-206.735962
16,6060.225586,-1261.601929,5982.263184,-1825.145264,-2040.032715,118.883362,1824.979980,-714.160767,2094.654053,-3492.198242,3578.542480,-263.510620,1378.963379,73.038391,-2759.389404,-3996.596191,-5328.084961,-2303.873779,-5592.765625,3386.539307,174.918701,-3053.027832,-2818.348877,-2870.571045,546.012451,1429.780640,1249.910645,-1529.418945,5005.751953,-4772.472168,-5063.833008,2730.554932,1230.425903,3309.481445,2091.756348,-4801.101074,6099.737305,2075.159424,757.686768,-3552.941162,5689.091797,-1440.037354,3004.925781,2883.965088,-48.257263,1910.770020,112.227783,-1645.072266,3587.028809,2675.768555,-3672.436035,4134.211914,3242.503906,-3552.222656,-699.049194,-3318.229248,-2322.999512,-2652.447021,-3036.927246,840.706543,-1485.383057,-7508.388184,2017.433960,2942.469482,1273.420166,-2636.855957,-4105.646973,-3109.762695,3499.742920,-2211.649658,3597.230469,5238.149414,-4964.960938,-5891.170898,1231.427856,-3881.010254,4907.097656,-4630.478027,-3670.584961,-1993.142578,3826.485352,-1115.826294,-5557.113770,-3213.416016,6031.597656,5627.466309,-1247.348145,-4649.367188,2349.603027,3208.998535,1521.040771,45.489746,157.974731,2541.727295,6259.723633,3722.582764
17,2433.539062,-2800.146484,-2186.389648,-2575.391602,-4479.882324,-200.611221,-3662.536133,-179.010254,-756.587830,2572.032227,2881.516357,-2954.245117,1229.489990,1164.238159,3798.037842,677.885986,2942.605469,-4110.220703,1209.118286,-3340.015381,72.568665,2563.419922,398.500916,2806.537842,323.587158,1767.263916,3325.070557,2320.339844,2370.864746,-1555.384766,-671.997375,1228.097656,163.196960,2006.773682,-1617.436768,-4731.816406,98.140350,2661.742676,4028.476562,-3173.564941,453.748047,-2162.751465,-3452.185791,-709.622253,4481.088867,1736.012207,2683.364258,647.493164,854.820068,27.551361,-244.416687,-1968.172363,2846.142090,-2416.853027,-242.973846,737.909912,5211.551758,-57.555054,-2532.306396,6049.724121,-2022.232300,-3413.324463,4109.254883,469.455902,-1474.804810,673.609253,-2324.337158,2682.459473,443.761566,-145.962769,2115.083008,-6323.470215,-2776.994141,603.631592,1290.650024,-2235.381836,-5554.176270,-1004.368713,-366.451538,-7216.164551,-1606.382812,-3298.910645,-167.491165,3660.692383,-2881.819824,-140.815918,2726.307129,-5363.198730,5595.930176,1540.028809,622.912109,1353.747070,6540.211914,5109.503418,4601.300781,-1087.145752
18,1080.953247,-2912.489014,-812.829468,-1158.105835,-2215.725098,-303.341705,-3093.812988,-95.632111,-76.745911,3857.349854,4033.651855,-2038.940552,1190.655884,-880.035095,-872.881775,1801.107422,904.410828,-2529.152344,-817.150818,-2707.091553,-257.576630,-1446.640869,-659.297180,1659.394897,3089.212891,1478.100342,1824.150757,-24.692078,1518.676147,47.471558,1174.326904,2690.008301,936.230957,-898.618164,-1448.254517,-1397.767944,-364.091248,1332.354248,1619.125122,-497.362885,-1979.183105,-379.023071,628.776184,-432.001160,1757.873047,895.131531,-168.875732,-1525.311768,-1126.846924,-800.178589,-3224.467773,-522.876221,2143.335693,1901.694580,-2204.662109,-3100.182373,2814.573242,-1105.196533,-1153.737305,1665.223267,-1781.893433,-3486.647705,-988.891174,852.927368,2061.789307,311.524200,1317.980713,642.730713,-826.467896,2512.368896,1502.749756,-104.139374,-3109.566406,2688.889404,209.122955,-2871.145020,-2655.687988,1280.551880,2143.284180,-1552.699219,-681.834229,-1970.540894,-1087.668945,3358.981934,-958.717957,1191.864380,102.457458,67.008972,2383.415283,1546.613647,-123.195190,717.891052,2052.002930,673.448120,2821.601074,691.053955
19,6356.104492,787.038391,8043.974609,753.888123,-4408.090332,-1295.376465,474.215393,982.289490,3163.474121,-1492.750610,4983.715332,-726.252441,-2751.105713,799.563721,-1665.468384,-4010.908203,-3051.998535,-1226.876953,-2864.047363,1430.119141,3057.609375,-2806.937012,-3581.285889,-1149.072144,11.531982,-679.755615,-808.552979,-4363.214355,6003.156250,-3177.916016,-3973.414062,5177.392578,4717.794434,3406.802490,1964.393066,-3374.522949,3520.590820,4497.352051,3543.280273,-3927.771484,3429.858887,-4149.023926,1039.847656,-639.597656,2386.619385,2228.114990,538.272705,-2010.926392,-55.672119,339.292847,-1600.975830,5980.000488,2899.732422,-6790.777832,-796.013062,-4010.267822,1974.011108,-4843.186035,-858.471680,268.728424,-3901.152832,-7920.310547,5438.287598,-1149.533936,-354.322998,-2897.864746,-701.547546,-180.994629,2740.065918,-1936.371460,5053.331543,1371.224365,-2198.023926,-2736.013184,5707.925781,-5900.867188,6377.135742,-2055.556396,-5262.468750,-6685.364746,4737.303711,269.265503,-2651.960449,-6434.206055,4766.611328,9032.224609,838.438965,-6964.335938,3451.848877,3634.466553,3947.233887,-1627.620117,1759.017578,3183.971191,6005.812500,4665.039062
20,1251.333496,-1918.568359,-2964.389893,84.344727,-2071.636963,177.936127,-2705.815186,1617.235229,-305.543884,2546.113770,1679.353760,-2576.825439,1651.508301,-254.623535,1374.960083,468.174011,2260.733154,-1944.575439,227.446472,-2801.871582,471.784515,1273.726318,-1038.581787,819.518555,1620.372070,1660.633057,2429.612793,551.148315,3100.139893,176.777710,-54.134315,622.252075,1261.961792,1210.840454,-1457.264648,-961.887573,1042.906738,1878.862793,1488.276733,-3770.205322,686.376831,-2402.617188,-1635.271851,981.720947,3311.043457,2829.189941,1394.045288,-1179.567017,-1213.874512,-275.366852,-1114.924316,-470.745911,485.544373,649.157349,-349.977142,-12.681980,1985.479004,-1206.090820,-1072.440674,3192.755859,-2311.348145,-1690.559814,2739.737549,286.150543,1489.607910,2822.200928,-1195.982178,1448.359131,1431.170288,338.842377,1462.130859,-3646.349854,-1015.569580,1790.655151,1189.196777,72.311554,-4713.616699,-1469.160645,1192.253662,-3340.094727,-1541.798096,-2270.954834,-926.840332,2075.934570,-2654.002441,660.250916,1810.456543,-1542.350098,2298.872314,1467.682129,648.645142,1959.427490,2876.839111,2424.234375,4070.829834,770.189819
